	Scores
Sentence5383	0.9939573591000421
Sentence4724	0.9939546206853729
Sentence3015	0.9939540825775544
Sentence2242	0.9939497325833286
Sentence4812	0.9939274934030639
Sentence1576	0.993918552323497
Sentence5356	0.9939091913551857
Sentence922	0.9939087985396066
Sentence5243	0.9938790762761276
Sentence2344	0.9938638038664589
Sentence2646	0.9938627180557165
Sentence2644	0.993850716398572
Sentence3892	0.9938495046794268
Sentence856	0.9938443721431398
Sentence5259	0.9938407260892076
Sentence6022	0.993835276399434
Sentence5930	0.9938319187095429
Sentence2371	0.9938237242595613
Sentence1693	0.9938236321633898
Sentence4546	0.9937687844672011
Sentence4058	0.993764140563051
Sentence3638	0.9937583909481675
Sentence486	0.9937545602798231
Sentence5744	0.993732437130227
Sentence5124	0.9937314604183916
Sentence1847	0.9937296553152357
Sentence3298	0.993726668399814
Sentence3277	0.9937216264898062
Sentence2047	0.9937171043518959
Sentence4585	0.993705816447308
Sentence4513	0.993697897847402
Sentence2009	0.9936974865276393
Sentence1356	0.9936838601442689
Sentence3419	0.9936737143046994
Sentence2863	0.9936419900552718
Sentence6310	0.9936222066952911
Sentence326	0.9936013225026656
Sentence2686	0.9935950750179415
Sentence3114	0.9935898113028163
Sentence4005	0.9935860225349101
Sentence3696	0.9935825860335787
Sentence5846	0.9935798357086021
Sentence941	0.9935784073749204
Sentence3938	0.993572746526544
Sentence1449	0.9935717832233422
Sentence1986	0.993568616988512
Sentence4496	0.9935635219250523
Sentence5178	0.9935510699620418
Sentence4803	0.9935395575077148
Sentence3698	0.9935366828200541
Sentence4459	0.9935362553118108
Sentence4759	0.9935310406291213
Sentence5093	0.9935263986289294
Sentence2070	0.9935170093350886
Sentence1979	0.9934955014703719
Sentence6325	0.9934931683635277
Sentence3467	0.9934859756868164
Sentence5517	0.9934622867283645
Sentence386	0.9934556433984432
Sentence3512	0.99344891106382
Sentence5843	0.9934454849672376
Sentence2847	0.993436225599017
Sentence185	0.9934355837242712
Sentence4421	0.9934332511691835
Sentence3357	0.9934248151079494
Sentence2011	0.9934187084642838
Sentence2064	0.9934134701105843
Sentence6139	0.993410676711229
Sentence3246	0.9934005162586059
Sentence1071	0.993398403827892
Sentence1484	0.9933960390969586
Sentence921	0.993388693015134
Sentence1240	0.9933843135347298
Sentence1462	0.9933584520334591
Sentence1901	0.9933518700677226
Sentence3653	0.9933485441471681
Sentence722	0.9933455850336529
Sentence104	0.9933431334836385
Sentence3470	0.9933410542953233
Sentence4771	0.9933405205333541
Sentence3680	0.993331182687332
Sentence1604	0.9932936803819483
Sentence3685	0.9932871620036513
Sentence3659	0.9932782125652704
Sentence4904	0.9932757608991954
Sentence804	0.9932597451676639
Sentence6417	0.9932275488540263
Sentence4880	0.9932268719437118
Sentence1083	0.9932251053410305
Sentence691	0.9931996102455187
Sentence4989	0.9931830087862578
Sentence2821	0.993179536312344
Sentence5313	0.9931785497463924
Sentence5039	0.9931747730133414
Sentence3283	0.9931625532848015
Sentence6069	0.9931614682250313
Sentence1160	0.9931568774503425
Sentence5618	0.9931547236250132
Sentence5218	0.9931457388671351
Sentence1528	0.9931436429976637
Sentence6154	0.9931318835936779
Sentence5567	0.9931102219652548
Sentence778	0.9931019392076987
Sentence2558	0.9930986700579041
Sentence4518	0.9930863669261824
Sentence5343	0.9930857869851983
Sentence4487	0.9930857025855385
Sentence1780	0.9930748756490855
Sentence1716	0.9930684330005208
Sentence3687	0.9930673370530905
Sentence1050	0.9930569006562958
Sentence5475	0.993055897473937
Sentence6421	0.9930533415590348
Sentence3212	0.9930395399242574
Sentence4526	0.9930331309582547
Sentence329	0.9930050787955624
Sentence2585	0.9930042298310422
Sentence5778	0.9929906783585787
Sentence1238	0.9929824561403506
Sentence5345	0.9929776937060243
Sentence2035	0.9929767109340535
Sentence2391	0.992976567437559
Sentence6492	0.992970980705433
Sentence631	0.9929708872111431
Sentence3664	0.9929598348904844
Sentence2451	0.9929506766254139
Sentence805	0.9929462456894479
Sentence2273	0.9929400187120351
Sentence945	0.9929034799458399
Sentence2259	0.9928936860080387
Sentence3547	0.9928919909425353
Sentence3117	0.9928856633583318
Sentence846	0.9928773465892862
Sentence333	0.9928746504888133
Sentence1635	0.9928694281920716
Sentence4817	0.9928647984208411
Sentence4939	0.9928596476749882
Sentence1698	0.9928521278700476
Sentence4885	0.9928193364483819
Sentence3364	0.9928139560523774
Sentence4914	0.9928119192159649
Sentence5952	0.9928107616683406
Sentence3321	0.9927958760992904
Sentence1971	0.9927778345762832
Sentence4726	0.9927708554123894
Sentence3884	0.992761402412256
Sentence833	0.9927572467520553
Sentence1428	0.9927396101414969
Sentence3405	0.9927260698266533
Sentence4162	0.9927140508956454
Sentence2038	0.9927138886914058
Sentence738	0.9926959082440856
Sentence1961	0.9926938190377067
Sentence1247	0.9926909673635995
Sentence4629	0.9926889257675606
Sentence301	0.9926424990186957
Sentence4727	0.9926380368676095
Sentence365	0.9926374169943729
Sentence3162	0.9926304491494656
Sentence3936	0.9926236007792013
Sentence2177	0.9926233666072164
Sentence2622	0.9926224841472159
Sentence3559	0.992621818989311
Sentence2687	0.9926087598865789
Sentence1084	0.9925993090226625
Sentence1811	0.9925985563603522
Sentence1382	0.9925951028002402
Sentence6018	0.9925949382038131
Sentence1949	0.9925924205200818
Sentence199	0.9925874605020576
Sentence2307	0.9925847032006401
Sentence5786	0.9925455471822773
Sentence3777	0.9925343213388154
Sentence471	0.9925309106560052
Sentence1998	0.9925257432635336
Sentence3127	0.9925229355666805
Sentence503	0.9925182342046324
Sentence5750	0.9925156898154514
Sentence84	0.9925089218499107
Sentence124	0.9925076662402226
Sentence5022	0.9925046129871318
Sentence487	0.9925026820770348
Sentence2894	0.9924982678050073
Sentence851	0.9924714864921249
Sentence6473	0.9924693660136139
Sentence4375	0.992428746421662
Sentence3170	0.9924283374069717
Sentence1093	0.9924207331788886
Sentence2240	0.9924196274427286
Sentence1212	0.9924132918453464
Sentence3457	0.9924095741548046
Sentence6393	0.9923925203012306
Sentence6477	0.9923865359983235
Sentence3009	0.9923711767714026
Sentence2829	0.9923685557370954
Sentence406	0.9923645123959517
Sentence1348	0.9923517308295826
Sentence980	0.9923156482816781
Sentence1325	0.9922916537047582
Sentence648	0.9922886551888835
Sentence6197	0.9922742798457215
Sentence477	0.9922523054281231
Sentence4888	0.9922420534690731
Sentence2961	0.9922223951102618
Sentence4391	0.9922127444878187
Sentence4972	0.9922082256348265
Sentence5648	0.9922073720809756
Sentence1216	0.9922043088435352
Sentence4854	0.9922030375993917
Sentence4154	0.9921927136060977
Sentence6497	0.9921882361192067
Sentence3222	0.9921789951225446
Sentence2414	0.9921705731819195
Sentence1752	0.9921642017971276
Sentence2210	0.9921365342738483
Sentence240	0.992126174078906
Sentence5037	0.9921225539916488
Sentence5950	0.9921182176800549
Sentence3023	0.992115674165634
Sentence1684	0.9921014090346553
Sentence4473	0.9920977851279936
Sentence6123	0.9920959189322263
Sentence1074	0.9920859071300446
Sentence2163	0.9920753882422826
Sentence1958	0.9920728578132361
Sentence1379	0.9920724638052869
Sentence23	0.9920656250947667
Sentence5798	0.9920647897881316
Sentence2572	0.992038642795061
Sentence4871	0.992016754863354
Sentence4736	0.9920098417964812
Sentence140	0.9920089671730905
Sentence4100	0.9920075880575961
Sentence5620	0.9919927538936062
Sentence4967	0.9919904021886863
Sentence4671	0.9919720351206728
Sentence4494	0.99196155058908
Sentence3353	0.9919575119771054
Sentence3941	0.9919565871083552
Sentence2890	0.9919531769834524
Sentence6375	0.9919471600367956
Sentence1257	0.9919397346549259
Sentence3580	0.9919394519884126
Sentence3755	0.9919180326629415
Sentence530	0.9919089117663266
Sentence392	0.9919014058451021
Sentence1619	0.9918850704032909
Sentence6292	0.991878081035793
Sentence1938	0.9918729937282198
Sentence6483	0.9918599906721273
Sentence5685	0.991859616583266
Sentence5400	0.9918534715755254
Sentence2145	0.9918486981823971
Sentence5832	0.9918483748932105
Sentence4621	0.9918472564215122
Sentence5301	0.9918461071555933
Sentence4604	0.9918189515461322
Sentence2550	0.9917977095046598
Sentence1344	0.9917915891095589
Sentence1709	0.9917851975758467
Sentence519	0.9917810221744439
Sentence2718	0.9917700543678357
Sentence2875	0.9917633139348683
Sentence3651	0.9917452457727478
Sentence2072	0.9917419818207298
Sentence4635	0.9917401426966297
Sentence5353	0.9917278739256712
Sentence6386	0.9917154392604596
Sentence4515	0.9917042008941485
Sentence289	0.9917021289354311
Sentence3589	0.9916823801981283
Sentence4091	0.9916806462304948
Sentence1517	0.9916639344777675
Sentence1533	0.9916477995208599
Sentence3585	0.9916453094371883
Sentence5253	0.9916162545824345
Sentence154	0.9916087601947989
Sentence2098	0.9916007323385884
Sentence2220	0.9915995060577061
Sentence3847	0.9915943662853272
Sentence2350	0.9915804089056189
Sentence1307	0.9915793855127699
Sentence2713	0.9915528994754942
Sentence3524	0.9915498660078861
Sentence3169	0.9915435875880071
Sentence4231	0.9915374442178677
Sentence5212	0.9915350679839134
Sentence479	0.9915279377470096
Sentence21	0.9915104199509186
Sentence2889	0.9914991218984935
Sentence6293	0.9914771176141706
Sentence2995	0.9914742981823848
Sentence1169	0.9914732871001155
Sentence4433	0.9914728820155068
Sentence4290	0.9914686249173684
Sentence4580	0.9914657041571063
Sentence1365	0.9914514149069908
Sentence2077	0.9914336631940136
Sentence257	0.9914218359769016
Sentence2904	0.9914152106339454
Sentence1241	0.9913913207689526
Sentence389	0.9913845702623746
Sentence3691	0.9913549838347638
Sentence3505	0.991354859242235
Sentence4373	0.9913420546577199
Sentence72	0.9913258838892135
Sentence1643	0.9913254390214264
Sentence2611	0.9913207636413313
Sentence2868	0.9913198477550438
Sentence1044	0.9913104125079775
Sentence123	0.9912997352013541
Sentence5245	0.9912907331855813
Sentence824	0.9912879102393222
Sentence4257	0.99127568307358
Sentence5824	0.9912737938603193
Sentence6024	0.9912721917803472
Sentence303	0.9912708088254982
Sentence4105	0.9912624968519296
Sentence3109	0.99126085956173
Sentence3866	0.9912547177450163
Sentence1032	0.991240680389974
Sentence1400	0.9912399118184728
Sentence2962	0.9912344554220149
Sentence3594	0.9912319020767255
Sentence4035	0.9912302940936397
Sentence4763	0.9912089046554774
Sentence5551	0.9912041212343569
Sentence1736	0.9911918997228334
Sentence4293	0.9911915205461297
Sentence6161	0.9911880057434159
Sentence2330	0.991187276809377
Sentence382	0.9911729944797159
Sentence5167	0.9911628700868473
Sentence3718	0.9911518393689495
Sentence4984	0.9911394379142475
Sentence2684	0.9911365795741487
Sentence3147	0.9911316836605122
Sentence4331	0.9911181952375652
Sentence2309	0.9911159928995044
Sentence650	0.9911068497444502
Sentence5963	0.991103903765634
